ID,State Name,State Abbreviation,Wind Direction,Created,Applicable Date,Min Temp,Max Temp,The Temp,Wind Speed,Air Pressure,Humidity,Visibility,Predictability
4815610000000000.0,Clear,c,24.91832423,2016-01-01T15:50:46.783160Z,1/1/2016,22.5975,33.84,32.39,5.850634075,1015.0,57.0,11.96854122,68
5117610000000000.0,Light Cloud,lc,111.2224442,2016-01-02T15:50:46.519900Z,1/2/2016,24.215,33.9675,32.26,4.975469975,1014.0,61.0,11.68737075,70
5845770000000000.0,Light Rain,lr,54.35748692,2016-01-03T15:50:46.178120Z,1/3/2016,24.6425,33.095,32.36,5.751001125,1014.0,66.0,9.814557981,75
4887680000000000.0,Heavy Cloud,hc,105.34358229999998,2016-01-04T15:50:46.861790Z,1/4/2016,24.675,33.315,32.92,8.274074025,1014.0,63.0,11.00665861,71
6722350000000000.0,Light Cloud,lc,93.19582371,2016-01-05T15:50:46.201860Z,1/5/2016,24.3425,33.3975,33.14,8.0830896,1013.0,63.0,11.89024845,70
6174120000000000.0,Heavy Cloud,hc,97.17810825,2016-01-06T15:50:47.058920Z,1/6/2016,24.08,33.9575,33.79,8.236320975,1013.0,60.0,11.47330838,71
6133970000000000.0,Light Cloud,lc,84.17176484,2016-01-07T15:50:47.204840Z,1/7/2016,23.995,33.7475,33.39,8.68491105,1014.0,61.0,11.56496063,70
6063670000000000.0,Light Cloud,lc,68.40822302,2016-01-08T15:50:47.116020Z,1/8/2016,24.005,33.045,32.5,9.3851808,1014.0,66.0,8.438220791,70
6315490000000000.0,Heavy Cloud,hc,108.43341979999998,2016-01-09T15:50:47.054710Z,1/9/2016,23.795,33.755,33.29,10.13703565,1013.0,59.0,12.00395938,71
5970310000000000.0,Light Cloud,lc,102.19424620000001,2016-01-10T15:50:46.547660Z,1/10/2016,23.9975,34.035,33.79,8.754596825,1013.0,60.0,12.49888153,70
4594560000000000.0,Light Cloud,lc,96.46911165,2016-01-11T15:50:46.621890Z,1/11/2016,24.005,32.885,32.83,7.377733625,1013.0,63.0,11.80325648,70
5637920000000000.0,Heavy Cloud,hc,101.94703129999999,2016-01-12T15:50:47.084980Z,1/12/2016,23.71,33.685,33.53,9.186957775,1012.0,65.0,11.66220522,71
5508670000000000.0,Light Cloud,lc,99.32587831,2016-01-13T15:50:47.160690Z,1/13/2016,24.2175,34.13,34.41,8.298534525,1011.0,57.0,11.88310268,70
5059030000000000.0,Light Cloud,lc,117.8543992,2016-01-14T15:50:46.588830Z,1/14/2016,24.645,34.985,34.64,9.34347335,1011.0,55.0,11.17784638,70
5016900000000000.0,Heavy Cloud,hc,98.48957929,2016-01-15T15:50:46.963860Z,1/15/2016,24.4125,34.0725,34.42,9.289866575,1010.0,61.0,11.42484143,71
6738650000000000.0,Heavy Cloud,hc,116.1774356,2016-01-16T15:50:46.872980Z,1/16/2016,24.65,34.1725,33.97,8.256582375,1010.0,62.0,10.84137388,71
4734720000000000.0,Light Cloud,lc,146.87962109999998,2016-01-17T15:50:46.916980Z,1/17/2016,24.0225,33.5275,33.07,8.580867699999999,1010.0,66.0,11.73614839,70
6386970000000000.0,Heavy Cloud,hc,129.6820791,2016-01-18T15:50:47.392440Z,1/18/2016,24.93,34.2,33.18,8.937881025,1010.0,66.0,11.77653752,71
6007890000000000.0,Light Cloud,lc,115.10069890000001,2016-01-19T15:50:46.750940Z,1/19/2016,25.0525,34.01,34.38,11.46628485,1011.0,60.0,11.97692973,70
6629680000000000.0,Light Cloud,lc,105.80782520000001,2016-01-20T15:50:46.574500Z,1/20/2016,24.4675,35.6225,35.36,10.97514468,1013.0,58.0,11.36301499,70
5411280000000000.0,Light Cloud,lc,100.4212132,2016-01-21T15:50:47.128470Z,1/21/2016,24.2825,35.1075,35.26,10.83147673,1013.0,50.0,12.19099211,70
6267570000000000.0,Light Cloud,lc,76.26813636,2016-01-22T15:50:46.871970Z,1/22/2016,24.305,35.6025,35.62,9.103820975,1013.0,55.0,12.11301002,70
5094850000000000.0,Light Cloud,lc,86.6450551,2016-01-23T15:50:47.158010Z,1/23/2016,24.315,35.375,36.09,8.51031985,1013.0,58.0,11.21326454,70
